Dreams & Nightmares Case
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)
AK-47 | Jungle Spray (Field-Tested)
AK-47 | Elite Build (Factory New)
Sticker | Mind Games (Holo)
MP9 | Mount Fuji (Minimal Wear)
StatTrak™ Tec-9 | Avalanche (Minimal Wear)
Negev | Power Loader (Factory New)
Bloody Darryl The Strapped | The Professionals
M4A4 | In Living Color (Field-Tested)
Galil AR | Rocket Pop (Minimal Wear)
★ StatTrak™ Nomad Knife | Boreal Forest (Field-Tested)
Glock-18 | Catacombs (Factory New)
Desert Eagle | Conspiracy (Minimal Wear)
Galil AR | Stone Cold (Minimal Wear)
R8 Revolver | Crazy 8 (Field-Tested)
PP-Bizon | Brass (Well-Worn)
M4A1-S | Emphorosaur-S (Minimal Wear)
Music Kit | Perfect World, 花脸 Hua Lian (Painted Face)
StatTrak™ SG 553 | Darkwing (Minimal Wear)
Sticker | s1mple (Glitter) | Paris 2023
Music Kit | bbno$, u mad!
StatTrak™ M4A4 | Spider Lily (Field-Tested)
MP7 | Fade (Minimal Wear)
StatTrak™ AWP | PAW (Minimal Wear)
USP-S | Stainless (Field-Tested)
StatTrak™ Glock-18 | Grinder (Minimal Wear)
AK-47 | Baroque Purple (Minimal Wear)
SG 553 | Candy Apple (Minimal Wear)
StatTrak™ Glock-18 | Royal Legion (Minimal Wear)
M4A1-S | Blood Tiger (Factory New)
MP7 | Anodized Navy (Factory New)
G3SG1 | Dream Glade (Well-Worn)
Music Kit | The Verkkars, EZ4ENCE
USP-S | Check Engine (Field-Tested)
MAG-7 | Monster Call (Well-Worn)
AWP | Elite Build (Field-Tested)
SG 553 | Dragon Tech (Factory New)
'Two Times' McCoy | TACP Cavalry
Desert Eagle | Light Rail (Well-Worn)
FAMAS | Crypsis (Factory New)
P90 | Off World (Minimal Wear)
AWP | Atheris (Minimal Wear)
Rezan The Ready | Sabre
AK-47 | Uncharted (Field-Tested)
P90 | Facility Negative (Minimal Wear)
Souvenir Glock-18 | High Beam (Factory New)
StatTrak™ Desert Eagle | Blue Ply (Field-Tested)
Galil AR | Signal (Minimal Wear)
M4A4 | Evil Daimyo (Field-Tested)
Sticker | iM (Holo) | Paris 2023
Revolution Case
StatTrak™ USP-S | Ticket to Hell (Field-Tested)
StatTrak™ FAMAS | ZX Spectron (Minimal Wear)
USP-S | Black Lotus (Minimal Wear)
StatTrak™ M249 | O.S.I.P.R. (Field-Tested)
AK-47 | Legion of Anubis (Minimal Wear)
Glock-18 | Vogue (Field-Tested)
MP5-SD | Gauss (Field-Tested)
Desert Eagle | Mecha Industries (Minimal Wear)
Glock-18 | Nuclear Garden (Field-Tested)
CZ75-Auto | Eco (Minimal Wear)
AWP | Mortis (Field-Tested)
UMP-45 | Arctic Wolf (Minimal Wear)
Souvenir SSG 08 | Detour (Minimal Wear)
MAC-10 | Tatter (Field-Tested)
AK-47 | Cartel (Field-Tested)
Glock-18 | Ramese's Reach (Field-Tested)
AK-47 | Nightwish (Well-Worn)
Souvenir AUG | Sand Storm (Factory New)
MP5-SD | Kitbash (Well-Worn)
SSG 08 | Fever Dream (Minimal Wear)
★ Nomad Knife | Boreal Forest (Field-Tested)
AWP | Atheris (Field-Tested)
StatTrak™ FAMAS | Roll Cage (Field-Tested)
Music Kit | AWOLNATION, I Am
Five-SeveN | Fowl Play (Factory New)
AUG | Torque (Minimal Wear)
SG 553 | Dragon Tech (Field-Tested)
Dual Berettas | Flora Carnivora (Battle-Scarred)
Galil AR | Connexion (Field-Tested)
★ Flip Knife | Boreal Forest (Field-Tested)
PP-Bizon | Osiris (Minimal Wear)
AWP | Fever Dream (Field-Tested)
StatTrak™ M4A4 | Desolate Space (Field-Tested)
★ Talon Knife | Ultraviolet (Minimal Wear)
★ Talon Knife | Fade (Factory New)
★ Ursus Knife | Crimson Web (Battle-Scarred)
M4A1-S | Chantico's Fire (Well-Worn)
1st Lieutenant Farlow | SWAT
★ Falchion Knife | Damascus Steel (Factory New)
Perfect World Graffiti Box
Sticker | roeJ (Holo) | Paris 2023
StatTrak™ AK-47 | Ice Coaled (Field-Tested)
AK-47 | Green Laminate (Field-Tested)
USP-S | The Traitor (Battle-Scarred)
AK-47 | Baroque Purple (Factory New)
StatTrak™ M4A4 | Magnesium (Factory New)
Souvenir M4A4 | Converter (Factory New)
★ Butterfly Knife | Safari Mesh (Minimal Wear)
Tec-9 | Cut Out (Factory New)
StatTrak™ USP-S | Blueprint (Field-Tested)
Souvenir SSG 08 | Detour (Factory New)
StatTrak™ PP-Bizon | Runic (Minimal Wear)
StatTrak™ AK-47 | Elite Build (Minimal Wear)
MAG-7 | Metallic DDPAT (Factory New)
Nova | Antique (Minimal Wear)
M4A4 | Buzz Kill (Minimal Wear)
AK-47 | Redline (Minimal Wear)
★ Bowie Knife | Lore (Well-Worn)
B Squadron Officer | SAS
AK-47 | Safari Mesh (Minimal Wear)
M4A1-S | Fizzy POP (Minimal Wear)
Maximus | Sabre
P90 | ScaraB Rush (Field-Tested)
M4A1-S | Night Terror (Minimal Wear)
Souvenir MAG-7 | Prism Terrace (Factory New)
SSG 08 | Spring Twilly (Factory New)
USP-S | Road Rash (Field-Tested)
USP-S | Cyrex (Factory New)
StatTrak™ USP-S | Orion (Minimal Wear)
StatTrak™ P250 | Muertos (Factory New)
StatTrak™ M4A1-S | Blood Tiger (Factory New)
StatTrak™ Glock-18 | Water Elemental (Minimal Wear)
StatTrak™ FAMAS | Pulse (Factory New)
SCAR-20 | Emerald (Factory New)
P90 | Vent Rush (Battle-Scarred)
USP-S | Lead Conduit (Minimal Wear)
Souvenir USP-S | Road Rash (Field-Tested)
SSG 08 | Abyss (Minimal Wear)
★ Moto Gloves | 3rd Commando Company (Field-Tested)
AWP | Redline (Field-Tested)
AWP | Black Nile (Field-Tested)
AUG | Syd Mead (Field-Tested)
Lt. Commander Ricksaw | NSWC SEAL
Easy Peasy Pin
StatTrak™ MAC-10 | Rangeen (Field-Tested)
Souvenir PP-Bizon | Urban Dashed (Field-Tested)
MP9 | Bioleak (Factory New)
M4A4 | In Living Color (Minimal Wear)
PP-Bizon | Photic Zone (Minimal Wear)
Desert Eagle | Crimson Web (Field-Tested)
StatTrak™ Galil AR | Vandal (Factory New)
StatTrak™ M4A1-S | Printstream (Minimal Wear)
Souvenir Glock-18 | Reactor (Minimal Wear)
Sticker | Doru The Fox
USP-S | Cortex (Field-Tested)
Sticker | rigoN (Holo) | Paris 2023
Desert Eagle | Trigger Discipline (Field-Tested)
★ Navaja Knife | Doppler (Factory New)
AK-47 | Vulcan (Field-Tested)
SSG 08 | Carbon Fiber (Factory New)
★ Specialist Gloves | Field Agent (Battle-Scarred)
M249 | Downtown (Field-Tested)
M4A4 | Royal Paladin (Factory New)
Snakebite Case
Desert Eagle | Light Rail (Battle-Scarred)
Shadow Case
AK-47 | Bloodsport (Minimal Wear)
Seal Team 6 Soldier | NSWC SEAL
AUG | Fleet Flock (Well-Worn)
Spectrum 2 Case
AWP | Acheron (Factory New)
Rezan the Redshirt | Sabre
★ Falchion Knife | Urban Masked (Battle-Scarred)
StatTrak™ P250 | Verdigris (Field-Tested)
Sticker | Nelu the Bear
M4A4 | Radiation Hazard (Field-Tested)
StatTrak™ P90 | Neoqueen (Field-Tested)
XM1014 | Entombed (Minimal Wear)
StatTrak™ XM1014 | Seasons (Minimal Wear)
XM1014 | Entombed (Field-Tested)
StatTrak™ XM1014 | Seasons (Minimal Wear)
XM1014 | Entombed (Field-Tested)
M249 | Warbird (Field-Tested)
StatTrak™ Desert Eagle | Bronze Deco (Factory New)
Nova | Koi (Minimal Wear)
★ Hydra Gloves | Rattler (Field-Tested)
AWP | Black Nile (Factory New)
USP-S | Ticket to Hell (Field-Tested)
Name Tag
M4A1-S | Icarus Fell (Factory New)
StatTrak™ Negev | Man-o'-war (Minimal Wear)
StatTrak™ PP-Bizon | Space Cat (Battle-Scarred)
Sawed-Off | Spirit Board (Factory New)
★ Ursus Knife | Boreal Forest (Minimal Wear)
R8 Revolver | Survivalist (Minimal Wear)
StatTrak™ UMP-45 | Corporal (Field-Tested)
R8 Revolver | Crazy 8 (Well-Worn)
AK-47 | Rat Rod (Minimal Wear)
Sticker | Eternal Fire (Holo) | Antwerp 2022
★ Huntsman Knife | Autotronic (Field-Tested)
Buckshot | NSWC SEAL
MAC-10 | Sakkaku (Field-Tested)
Dual Berettas | Flora Carnivora (Field-Tested)
StatTrak™ SCAR-20 | Poultrygeist (Minimal Wear)
MAG-7 | Monster Call (Minimal Wear)
StatTrak™ SG 553 | Aloha (Minimal Wear)
★ Moto Gloves | POW! (Field-Tested)
Tec-9 | Fuel Injector (Field-Tested)
MP7 | Prey (Field-Tested)
StatTrak™ MAC-10 | Button Masher (Field-Tested)
'Two Times' McCoy | USAF TACP
★ Bowie Knife | Bright Water (Factory New)
★ Sport Gloves | Big Game (Field-Tested)
StatTrak™ Five-SeveN | Capillary (Minimal Wear)
P250 | Muertos (Minimal Wear)
MAG-7 | Heaven Guard (Minimal Wear)
Sticker | ZywOo (Holo) | Paris 2023
MAG-7 | Monster Call (Field-Tested)
P90 | Nostalgia (Battle-Scarred)
Sir Bloody Skullhead Darryl | The Professionals
MP9 | Starlight Protector (Field-Tested)
XM1014 | XOXO (Field-Tested)
AK-47 | Steel Delta (Field-Tested)
StatTrak™ Desert Eagle | Trigger Discipline (Battle-Scarred)
Dragomir | Sabre
FAMAS | Night Borre (Factory New)
Sticker | Drug War Veteran
M4A1-S | Emphorosaur-S (Field-Tested)
AWP | Mortis (Factory New)
M4A1-S | Leaded Glass (Minimal Wear)
Safecracker Voltzmann | The Professionals
Desert Eagle | Code Red (Field-Tested)
M4A1-S | Briefing (Minimal Wear)
Souvenir PP-Bizon | Facility Sketch (Factory New)
USP-S | Neo-Noir (Field-Tested)
P2000 | Ivory (Factory New)
Sticker | Battle Scarred
Paris 2023 Challengers Sticker Capsule
Number K | The Professionals
StatTrak™ SG 553 | Ol' Rusty (Minimal Wear)
Desert Eagle | Meteorite (Factory New)
Elite Trapper Solman | Guerrilla Warfare
★ Talon Knife | Tiger Tooth (Factory New)
StatTrak™ PP-Bizon | Jungle Slipstream (Factory New)
StatTrak™ Galil AR | Crimson Tsunami (Field-Tested)
Galil AR | Crimson Tsunami (Minimal Wear)
Negev | Lionfish (Factory New)
MAG-7 | SWAG-7 (Minimal Wear)
M4A4 | Neo-Noir (Field-Tested)
MAC-10 | Last Dive (Minimal Wear)
MAC-10 | Last Dive (Field-Tested)
MAC-10 | Last Dive (Factory New)
MAC-10 | Last Dive (Battle-Scarred)
AUG | Random Access (Factory New)
AK-47 | Safety Net (Field-Tested)
AWP | Mortis (Battle-Scarred)
Clutch Case
XM1014 | Seasons (Well-Worn)
XM1014 | Seasons (Minimal Wear)
XM1014 | Seasons (Field-Tested)
XM1014 | Seasons (Well-Worn)
XM1014 | Seasons (Minimal Wear)
XM1014 | Seasons (Field-Tested)
XM1014 | Seasons (Factory New)
StatTrak™ Sawed-Off | Zander (Factory New)
SG 553 | Anodized Navy (Factory New)
P2000 | Amber Fade (Field-Tested)
MAC-10 | Lapis Gator (Factory New)
Prisma 2 Case
StatTrak™ Desert Eagle | Oxide Blaze (Minimal Wear)
Operation Vanguard Weapon Case
M4A1-S | Hot Rod (Factory New)
M249 | Emerald Poison Dart (Minimal Wear)
M249 | Emerald Poison Dart (Field-Tested)
Galil AR | Crimson Tsunami (Field-Tested)
AWP | Fever Dream (Factory New)
UMP-45 | Scaffold (Well-Worn)
UMP-45 | Scaffold (Battle-Scarred)
StatTrak™ UMP-45 | Scaffold (Field-Tested)
StatTrak™ MAC-10 | Last Dive (Field-Tested)
StatTrak™ Desert Eagle | Oxide Blaze (Field-Tested)
StatTrak™ Music Kit | Perfect World, 花脸 Hua Lian (Painted Face)
StatTrak™ P2000 | Urban Hazard (Factory New)
StatTrak™ MAG-7 | SWAG-7 (Field-Tested)
Spectrum Case
MAC-10 | Neon Rider (Minimal Wear)
M249 | Emerald Poison Dart (Factory New)
Sticker | Apeks (Glitter) | Paris 2023
M249 | Downtown (Minimal Wear)
AWP | Acheron (Field-Tested)
StatTrak™ AWP | Atheris (Minimal Wear)
Danger Zone Case
AUG | Stymphalian (Minimal Wear)
Glock-18 | Moonrise (Minimal Wear)
PP-Bizon | Brass (Field-Tested)
AK-47 | Orbit Mk01 (Field-Tested)
AK-47 | Head Shot (Battle-Scarred)
USP-S | Ticket to Hell (Minimal Wear)
P90 | Chopper (Field-Tested)
M4A4 | Magnesium (Minimal Wear)
Music Kit | Midnight Riders, All I Want for Christmas
CZ75-Auto | Tuxedo (Battle-Scarred)
StatTrak™ Music Kit | The Verkkars, EZ4ENCE
SSG 08 | Acid Fade (Factory New)
FAMAS | Survivor Z (Factory New)
StatTrak™ Five-SeveN | Scrawl (Minimal Wear)
StatTrak™ CZ75-Auto | Pole Position (Factory New)
P250 | Muertos (Battle-Scarred)
M4A4 | The Battlestar (Field-Tested)
Paris 2023 Legends Sticker Capsule
AK-47 | Slate (Field-Tested)
MAC-10 | Sakkaku (Well-Worn)
Music Kit | Knock2, dashstar*
Sticker | s1mple (Holo) | Antwerp 2022
R8 Revolver | Skull Crusher (Field-Tested)
M4A1-S | Leaded Glass (Field-Tested)
SSG 08 | Turbo Peek (Field-Tested)
Prisma Case
USP-S | Flashback (Factory New)
M4A1-S | Flashback (Field-Tested)
Galil AR | Tuxedo (Field-Tested)
Cmdr. Mae 'Dead Cold' Jamison | SWAT
XM1014 | Incinegator (Field-Tested)
AWP | Worm God (Minimal Wear)
M4A1-S | Flashback (Minimal Wear)
M4A1-S | Night Terror (Factory New)
USP-S | Flashback (Field-Tested)
SG 553 | Cyrex (Field-Tested)
StatTrak™ P90 | Off World (Field-Tested)
AWP | Acheron (Minimal Wear)
SSG 08 | Hand Brake (Minimal Wear)
P2000 | Fire Elemental (Minimal Wear)
Glock-18 | Umbral Rabbit (Factory New)
M4A4 | Evil Daimyo (Minimal Wear)
Glock-18 | Weasel (Minimal Wear)
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman
AK-47 | Uncharted (Minimal Wear)
Glock-18 | Oxide Blaze (Factory New)
Desert Eagle | Corinthian (Factory New)
Glock-18 | Sacrifice (Minimal Wear)
Glock-18 | Sacrifice (Minimal Wear)
StatTrak™ Tec-9 | Fuel Injector (Field-Tested)
R8 Revolver | Banana Cannon (Field-Tested)
StatTrak™ Galil AR | Destroyer (Factory New)
Desert Eagle | Conspiracy (Factory New)
R8 Revolver | Banana Cannon (Well-Worn)
M4A1-S | Night Terror (Field-Tested)
StatTrak™ R8 Revolver | Crimson Web (Field-Tested)
AWP | Phobos (Minimal Wear)
AWP | Asiimov (Battle-Scarred)
USP-S | The Traitor (Field-Tested)
Sticker Capsule 2
StatTrak™ Galil AR | Kami (Factory New)
SSG 08 | Hand Brake (Well-Worn)
M4A4 | In Living Color (Factory New)
USP-S | Blueprint (Field-Tested)
Glock-18 | Grinder (Factory New)
Desert Eagle | Printstream (Field-Tested)
Blackwolf | Sabre
Sawed-Off | The Kraken (Field-Tested)
P250 | Nevermore (Minimal Wear)
Souvenir Desert Eagle | Urban DDPAT (Minimal Wear)
AK-47 | Ice Coaled (Factory New)
Nova | Antique (Factory New)
AWP | Duality (Minimal Wear)
SCAR-20 | Enforcer (Well-Worn)
Aspirant | Gendarmerie Nationale
Sticker | Twistzz (Holo) | Antwerp 2022
StatTrak™ M4A1-S | Player Two (Minimal Wear)
M4A4 | Royal Paladin (Field-Tested)
Sticker | Global Elite
Sticker | ELEAGUE | Boston 2018
AK-47 | Neon Rider (Field-Tested)
SG 553 | Triarch (Factory New)
SG 553 | Damascus Steel (Battle-Scarred)
AUG | Fleet Flock (Minimal Wear)
★ Driver Gloves | Rezan the Red (Field-Tested)
★ Classic Knife | Night Stripe (Field-Tested)
P90 | Vent Rush (Field-Tested)
PP-Bizon | Space Cat (Minimal Wear)
SG 553 | Integrale (Field-Tested)
StatTrak™ CZ75-Auto | Red Astor (Field-Tested)
AK-47 | Slate (Factory New)
★ Shadow Daggers | Ultraviolet (Minimal Wear)
AK-47 | Wasteland Rebel (Field-Tested)
P90 | Vent Rush (Minimal Wear)
Sawed-Off | Apocalypto (Minimal Wear)
★ Stiletto Knife | Blue Steel (Battle-Scarred)
AK-47 | Point Disarray (Field-Tested)
AWP | Wildfire (Factory New)
Negev | Dazzle (Minimal Wear)
Glock-18 | Candy Apple (Minimal Wear)
Sawed-Off | Apocalypto (Field-Tested)
UMP-45 | Exposure (Field-Tested)
StatTrak™ P2000 | Turf (Field-Tested)
StatTrak™ AK-47 | Neon Revolution (Field-Tested)
Sticker | Vitality (Holo) | Paris 2023
XM1014 | Zombie Offensive (Field-Tested)
Revolver Case
Falchion Case
Souvenir SCAR-20 | Storm (Field-Tested)
Music Kit | Sullivan King, Lock Me Up
AK-47 | Ice Coaled (Battle-Scarred)
StatTrak™ G3SG1 | Dream Glade (Battle-Scarred)
Souvenir Glock-18 | Red Tire (Field-Tested)
Trapper Aggressor | Guerrilla Warfare
Desert Eagle | Trigger Discipline (Factory New)
Souvenir XM1014 | Urban Perforated (Minimal Wear)
AWP | Acheron (Battle-Scarred)
UMP-45 | Riot (Factory New)
AWP | Pit Viper (Battle-Scarred)
AUG | Chameleon (Factory New)
AK-47 | The Empress (Minimal Wear)
USP-S | Cortex (Minimal Wear)
★ Stiletto Knife | Scorched (Minimal Wear)
AK-47 | Frontside Misty (Minimal Wear)
Sticker | Opal Flick (Holo)
AK-47 | Elite Build (Well-Worn)
★ M9 Bayonet | Lore (Field-Tested)
Sticker | Skin Lover (Lenticular)
AWP | Acheron (Battle-Scarred)
UMP-45 | Riot (Factory New)
AWP | Pit Viper (Battle-Scarred)
AUG | Chameleon (Factory New)
AK-47 | The Empress (Minimal Wear)
USP-S | Cortex (Minimal Wear)
★ Stiletto Knife | Scorched (Minimal Wear)
AK-47 | Frontside Misty (Minimal Wear)
Sticker | Opal Flick (Holo)
AK-47 | Elite Build (Well-Worn)
★ M9 Bayonet | Lore (Field-Tested)
Sticker | Skin Lover (Lenticular)
★ Butterfly Knife | Bright Water (Field-Tested)
Souvenir FAMAS | Faulty Wiring (Factory New)
StatTrak™ P250 | Iron Clad (Minimal Wear)
Galil AR | Rocket Pop (Well-Worn)
P250 | Cyber Shell (Field-Tested)
Galil AR | Vandal (Well-Worn)
StatTrak™ G3SG1 | Dream Glade (Field-Tested)
SG 553 | Darkwing (Minimal Wear)
Cobblestone Pin
Desert Eagle | Mecha Industries (Field-Tested)
Souvenir Nova | Sobek's Bite (Well-Worn)
★ Talon Knife | Marble Fade (Factory New)
StatTrak™ M4A4 | Magnesium (Minimal Wear)
★ Hydra Gloves | Emerald (Field-Tested)
★ Butterfly Knife | Forest DDPAT (Well-Worn)
P250 | Exchanger (Factory New)
G3SG1 | Dream Glade (Minimal Wear)
StatTrak™ P90 | Cocoa Rampage (Field-Tested)
XM1014 | Charter (Field-Tested)
MP5-SD | Kitbash (Battle-Scarred)
XM1014 | Quicksilver (Factory New)
Sawed-Off | Full Stop (Field-Tested)
SCAR-20 | Carbon Fiber (Minimal Wear)
M249 | System Lock (Factory New)
Five-SeveN | Violent Daimyo (Minimal Wear)
Dual Berettas | Cartel (Battle-Scarred)
Sticker | dupreeh (Holo, Champion) | Paris 2023
Sticker | Dragon Tale
Souvenir P2000 | Panther Camo (Factory New)
AUG | Momentum (Field-Tested)
AWP | Pit Viper (Minimal Wear)
G3SG1 | High Seas (Field-Tested)
Sawed-Off | Wasteland Princess (Minimal Wear)
Sticker | ZywOo (Gold) | Paris 2023
Sticker | ZywOo (Holo) | Antwerp 2022
StatTrak™ M4A1-S | Nightmare (Minimal Wear)
M4A1-S | Golden Coil (Field-Tested)
StatTrak™ Masterminds Music Kit Box
Crasswater The Forgotten | Guerrilla Warfare
AWP | Exoskeleton (Minimal Wear)
MP5-SD | Necro Jr. (Factory New)
StatTrak™ MP9 | Deadly Poison (Field-Tested)
USP-S | Flashback (Battle-Scarred)
Galil AR | Black Sand (Factory New)
FAMAS | Mecha Industries (Field-Tested)
CZ75-Auto | Tigris (Field-Tested)
★ Stiletto Knife | Rust Coat (Battle-Scarred)
Desert Eagle | Light Rail (Field-Tested)
StatTrak™ Tec-9 | Sandstorm (Field-Tested)
The Elite Mr. Muhlik | Elite Crew
StatTrak™ Tec-9 | Ice Cap (Factory New)
Dual Berettas | Royal Consorts (Field-Tested)
FAMAS | ZX Spectron (Minimal Wear)
StatTrak™ PP-Bizon | Photic Zone (Minimal Wear)
StatTrak™ AUG | Triqua (Minimal Wear)
Sticker | Ethereal Gaze (Foil)
USP-S | Kill Confirmed (Minimal Wear)
Sticker | mezii (Gold) | Paris 2023
StatTrak™ Tec-9 | Bamboozle (Field-Tested)
Souvenir USP-S | Desert Tactical (Battle-Scarred)
AK-47 | Head Shot (Minimal Wear)
Glock-18 | Gamma Doppler (Field-Tested)
StatTrak™ Nova | Windblown (Minimal Wear)
StatTrak™ CZ75-Auto | Circaetus (Minimal Wear)
★ Navaja Knife | Marble Fade (Factory New)
Tec-9 | Jambiya (Field-Tested)
StatTrak™ XM1014 | Teclu Burner (Minimal Wear)
P2000 | Handgun (Well-Worn)
Tec-9 | Jambiya (Field-Tested)
StatTrak™ XM1014 | Teclu Burner (Minimal Wear)
P2000 | Handgun (Well-Worn)
Dual Berettas | Cartel (Minimal Wear)
Negev | Lionfish (Minimal Wear)
Sticker | Jame (Gold, Champion) | Rio 2022
Music Kit | Humanity's Last Breath, Void
Desert Eagle | Trigger Discipline (Battle-Scarred)
UMP-45 | Gunsmoke (Factory New)
StatTrak™ SSG 08 | Necropos (Battle-Scarred)
R8 Revolver | Crazy 8 (Minimal Wear)
StatTrak™ Galil AR | Akoben (Battle-Scarred)
AWP | Fever Dream (Minimal Wear)
Patch | Shattered Web
StatTrak™ Glock-18 | Moonrise (Battle-Scarred)
★ Butterfly Knife | Damascus Steel (Minimal Wear)
StatTrak™ SCAR-20 | Blueprint (Minimal Wear)
StatTrak™ Nova | Exo (Minimal Wear)
StatTrak™ Glock-18 | Bunsen Burner (Field-Tested)
Souvenir Sawed-Off | Brake Light (Factory New)
CZ75-Auto | Eco (Well-Worn)
MAG-7 | Firestarter (Minimal Wear)
StatTrak™ Glock-18 | Umbral Rabbit (Battle-Scarred)
UMP-45 | Wild Child (Well-Worn)
M4A1-S | Emphorosaur-S (Battle-Scarred)
MP5-SD | Nitro (Minimal Wear)
PP-Bizon | Space Cat (Well-Worn)
Desert Eagle | Sputnik (Factory New)
StatTrak™ AK-47 | Slate (Minimal Wear)
M249 | Aztec (Field-Tested)
P250 | X-Ray (Minimal Wear)
Chroma 2 Case
AK-47 | Uncharted (Battle-Scarred)
StatTrak™ MP7 | Mischief (Field-Tested)
StatTrak™ Tec-9 | Snek-9 (Field-Tested)
XM1014 | Blue Spruce (Factory New)
StatTrak™ P90 | Grim (Field-Tested)
StatTrak™ P90 | Elite Build (Well-Worn)
StatTrak™ Glock-18 | Off World (Battle-Scarred)
G3SG1 | Orange Crash (Factory New)
AUG | Storm (Factory New)
StatTrak™ MAG-7 | Insomnia (Factory New)
P250 | Re.built (Factory New)
SCAR-20 | Fragments (Factory New)
R8 Revolver | Banana Cannon (Minimal Wear)
Glock-18 | Gamma Doppler (Minimal Wear)
Sticker | Kawaii Killer CT
P2000 | Wicked Sick (Battle-Scarred)
StatTrak™ SCAR-20 | Fragments (Minimal Wear)
M4A4 | Spider Lily (Minimal Wear)
M4A1-S | Mud-Spec (Minimal Wear)
SG 553 | Dragon Tech (Battle-Scarred)
Souvenir Galil AR | Amber Fade (Field-Tested)
Souvenir FAMAS | Faulty Wiring (Minimal Wear)
StatTrak™ Glock-18 | Moonrise (Field-Tested)
PP-Bizon | Osiris (Factory New)
StatTrak™ R8 Revolver | Banana Cannon (Battle-Scarred)
FAMAS | Meow 36 (Factory New)
Souvenir CZ75-Auto | Silver (Factory New)
Desert Eagle | Sputnik (Minimal Wear)
Five-SeveN | Angry Mob (Field-Tested)
★ Driver Gloves | Racing Green (Field-Tested)
StatTrak™ Desert Eagle | Corinthian (Minimal Wear)
StatTrak™ CZ75-Auto | Imprint (Minimal Wear)
PP-Bizon | Judgement of Anubis (Factory New)
AK-47 | Redline (Field-Tested)
StatTrak™ MAC-10 | Sakkaku (Battle-Scarred)
Sticker | Imperial Esports (Gold) | Antwerp 2022
MAG-7 | BI83 Spectrum (Field-Tested)
StatTrak™ Glock-18 | Clear Polymer (Minimal Wear)
Souvenir Galil AR | Cold Fusion (Field-Tested)
Souvenir Negev | Bulkhead (Field-Tested)
